Number of connection and bytes sent,epoll edge trigger,epoll level trigger,io_uring interrupt,io_uring sqpoll
1 w/ 1b,0,2,0,0
1 w/ 128b,2,3,0,0
1 w/ 512b,1,6,0,0
50 w/ 1b,0,2,0,0
50 w/ 128b,1,2,1,0
50 w/ 512b,3,0,0,2
150 w/ 1b,0,0,1,1
150 w/ 128b,0,0,0,0
150 w/ 512b,0,1,0,2
